ID;Queation NO;Time
3347237;Wk.4.7.1;0:05:21
7783570;Wk.4.7.1;The student did not submit.
7783574;Wk.4.7.5;The student did not submit.
7783577;Wk.4.7.6;0:09:53
7783478;Wk.4.7.2;0:08:50
7783471;Wk.4.7.1;0:05:19
3346837;Wk.4.7.2;0:11:11
7783473;Wk.4.7.2;0:00:06
7783472;Wk.4.7.3;0:11:58
7783475;Wk.4.7.3;0:12:42
3347754;Wk.4.7.1;0:14:27
3347783;Wk.4.7.6;The student did not submit.
3347756;Wk.4.7.1;The student did not submit.
3347757;Wk.4.7.1;The student did not submit.
3347750;Wk.4.7.3;0:11:13
3347751;Wk.4.7.2;0:14:24
3347752;Wk.4.7.6;0:15:15
3347753;Wk.4.7.6;0:12:47
3347758;Wk.4.7.5;0:03:17
3347759;Wk.4.7.4;0:07:56
7783706;Wk.4.7.6;The student did not submit.
7783378;Wk.4.7.3;0:05:08
7783379;Wk.4.7.1;0:00:18
7783372;Wk.4.7.3;0:04:37
7783370;Wk.4.7.3;0:04:42
7783371;Wk.4.7.3;0:00:34
7783377;Wk.4.7.2;0:14:30
7783374;Wk.4.7.1;0:01:18
3347789;Wk.4.7.3;The student did not submit.
7783394;Wk.4.7.6;The student did not submit.
7783396;Wk.4.7.5;0:06:17
7783397;Wk.4.7.4;0:12:19
7783390;Wk.4.7.1;0:07:37
7783391;Wk.4.7.4;0:06:00
7783392;Wk.4.7.2;0:09:44
7783393;Wk.4.7.6;0:14:57
7783398;Wk.4.7.1;0:12:06
7783399;Wk.4.7.4;0:04:55
3346654;Wk.4.7.6;0:12:24
7783651;Wk.4.7.4;0:01:22
7783719;Wk.4.7.2;0:06:51
7783653;Wk.4.7.4;0:10:22
7783652;Wk.4.7.1;0:14:28
7783655;Wk.4.7.1;0:11:59
7783654;Wk.4.7.1;0:02:43
7783657;Wk.4.7.2;0:13:15
7783656;Wk.4.7.2;0:15:25
7783659;Wk.4.7.3;0:11:00
7783711;Wk.4.7.3;0:12:13
7783712;Wk.4.7.2;The student did not submit.
7783713;Wk.4.7.4;The student did not submit.
7783714;Wk.4.7.5;0:09:57
7783716;Wk.4.7.1;0:00:11
3346982;Wk.4.7.2;0:00:25
7783470;Wk.4.7.2;The student did not submit.
7783439;Wk.4.7.1;The student did not submit.
7783438;Wk.4.7.3;0:06:10
7783435;Wk.4.7.3;0:07:38
7783434;Wk.4.7.1;0:01:15
7783437;Wk.4.7.1;0:01:36
7783436;Wk.4.7.2;0:13:05
7783431;Wk.4.7.1;0:10:47
7783430;Wk.4.7.6;0:13:10
7783433;Wk.4.7.2;0:05:15
7783432;Wk.4.7.3;0:06:30
3347718;Wk.4.7.2;0:02:35
3347719;Wk.4.7.2;0:00:10
3347710;Wk.4.7.2;0:07:41
3347711;Wk.4.7.6;0:06:12
3347305;Wk.4.7.2;0:04:28
3347714;Wk.4.7.1;0:05:15
3347715;Wk.4.7.2;0:14:31
3347716;Wk.4.7.1;0:11:46
3347717;Wk.4.7.4;The student did not submit.
7783509;Wk.4.7.5;0:07:01
3347782;Wk.4.7.1;The student did not submit.
3347781;Wk.4.7.6;0:14:30
3347787;Wk.4.7.6;0:14:22
3347786;Wk.4.7.2;0:13:47
3347785;Wk.4.7.3;0:15:49
3347784;Wk.4.7.1;0:06:15
7783501;Wk.4.7.2;0:04:03
7783500;Wk.4.7.4;The student did not submit.
7783503;Wk.4.7.3;The student did not submit.
3347788;Wk.4.7.6;0:15:38
7783504;Wk.4.7.1;The student did not submit.
7783507;Wk.4.7.1;0:15:34
7783506;Wk.4.7.4;The student did not submit.
7783668;Wk.4.7.4;The student did not submit.
7783615;Wk.4.7.4;0:00:16
7783614;Wk.4.7.6;The student did not submit.
7783611;Wk.4.7.1;0:09:56
7783610;Wk.4.7.6;0:12:56
7783613;Wk.4.7.2;0:12:14
